date,close,change,volume,open,high,low
29/01/2026,106.1,1.6(1.53 %),14247700,105.0,107.2,103.7
28/01/2026,104.5,2.4(2.35 %),11949800,102.4,105.8,102.3
27/01/2026,102.1,3.6(3.65 %),10585500,99.6,102.5,99.1
26/01/2026,98.5,-2.5(-2.48 %),11183100,100.2,101.6,98.0
23/01/2026,101.0,-2.5(-2.42 %),9418000,103.6,104.6,101.0
22/01/2026,103.5,-1.5(-1.43 %),8095100,105.5,105.8,103.5
21/01/2026,105.0,0.9(0.86 %),14517300,103.2,106.5,101.1
20/01/2026,104.1,-1.7(-1.61 %),12213100,106.1,107.0,104.0
19/01/2026,105.8,0.5(0.47 %),14710500,108.7,108.7,105.5
16/01/2026,105.3,6.8(6.90 %),23871100,99.5,105.3,99.5
15/01/2026,98.5,-1.3(-1.30 %),7401400,99.8,101.7,98.4
14/01/2026,99.8,0.9(0.91 %),11900400,99.0,101.1,97.8
13/01/2026,98.9,-0.6(-0.60 %),9411100,99.7,101.7,97.9
12/01/2026,99.5,2.1(2.16 %),9076600,98.0,99.5,98.0
09/01/2026,97.4,0.9(0.93 %),10048700,96.1,99.9,96.0
08/01/2026,96.5,-1(-1.03 %),5576200,98.1,98.1,96.5
07/01/2026,97.5,3.5(3.72 %),11427400,94.1,97.6,94.0
06/01/2026,94.0,-1(-1.05 %),5397500,94.7,94.8,93.6
05/01/2026,95.0,-0.8(-0.84 %),7029300,95.7,95.7,93.2
31/12/2025,95.8,-0.7(-0.73 %),3082600,96.8,97.0,95.2
30/12/2025,96.5,2.2(2.33 %),7271200,94.5,96.6,94.3
29/12/2025,94.3,1.8(1.95 %),6300900,92.5,94.9,92.5
26/12/2025,92.5,-0.5(-0.54 %),6612400,92.7,93.0,91.0
25/12/2025,93.0,-0.6(-0.64 %),4565200,93.6,94.8,93.0
24/12/2025,93.6,-0.4(-0.43 %),3901500,94.1,94.2,93.1
23/12/2025,94.0,0.3(0.32 %),6006900,94.0,95.9,93.6
22/12/2025,93.7,-0.2(-0.21 %),6142400,94.1,94.3,93.5
19/12/2025,93.9,-0.5(-0.53 %),4492600,94.0,95.0,93.6
18/12/2025,94.4,-1.5(-1.56 %),4115500,95.5,95.6,93.9
17/12/2025,95.9,1(1.05 %),4967800,94.4,96.3,94.4
16/12/2025,94.9,1.1(1.17 %),6295300,93.9,95.4,92.0
15/12/2025,93.8,0.1(0.11 %),3524800,93.9,94.4,93.5
12/12/2025,93.7,-2.3(-2.40 %),5519800,96.0,96.0,93.5
11/12/2025,96.0,0.4(0.42 %),5201600,95.9,96.6,95.6
10/12/2025,95.6,-1.3(-1.34 %),3894100,97.1,97.1,95.6
09/12/2025,96.9,1.4(1.47 %),9961500,95.5,97.0,94.4
08/12/2025,95.5,-0.7(-0.73 %),5278600,96.6,97.3,95.5
05/12/2025,96.2,-1.3(-1.33 %),5062500,97.5,97.5,96.1
04/12/2025,97.5,0.9(0.93 %),7387500,96.6,98.5,96.6
03/12/2025,96.6,0(0.00 %),6475300,97.0,97.0,96.0
02/12/2025,96.6,0(0.00 %),5560800,96.8,97.3,95.4
01/12/2025,96.6,0.5(0.52 %),3125100,96.9,97.7,96.1
28/11/2025,83.57,-2.4(-2.41 %),6210400,99.1,99.4,97.1
27/11/2025,85.63,0.5(0.51 %),4780500,99.2,99.8,98.1
26/11/2025,85.2,-0.7(-0.70 %),5830900,99.8,100.2,98.9
25/11/2025,85.81,-0.5(-0.50 %),4494900,99.7,100.3,99.0
24/11/2025,86.24,-0.6(-0.60 %),5061800,100.7,101.1,99.6
21/11/2025,86.75,1.8(1.82 %),7936900,98.0,101.2,97.8
20/11/2025,85.2,1(1.02 %),4593100,98.6,99.7,98.1
19/11/2025,84.34,-2(-2.00 %),5169300,99.5,99.5,98.0
18/11/2025,86.06,-1(-0.99 %),6500100,101.0,101.1,98.8
17/11/2025,86.92,1(1.00 %),5585100,100.6,101.8,100.6
14/11/2025,86.06,1.1(1.11 %),4699900,98.9,100.9,98.2
13/11/2025,85.12,-1.7(-1.69 %),4757400,100.6,100.7,98.7
12/11/2025,86.58,4.5(4.68 %),6635300,96.5,100.6,96.5
11/11/2025,82.71,-0.1(-0.10 %),6624200,96.8,97.9,96.1
10/11/2025,82.79,-4.8(-4.75 %),10072600,101.2,101.2,96.2
07/11/2025,86.92,0.8(0.80 %),5863600,99.5,101.8,99.5
06/11/2025,86.24,-0.7(-0.69 %),6751800,100.9,102.0,99.4
05/11/2025,86.84,-2.4(-2.32 %),11741500,101.8,102.0,99.6
04/11/2025,88.9,-1.7(-1.62 %),10620700,104.1,104.7,101.7
03/11/2025,90.37,1.1(1.06 %),20963600,103.8,106.3,103.5
31/10/2025,89.42,1.2(1.17 %),14827100,102.6,103.9,101.0
30/10/2025,88.39,1(0.98 %),9730600,102.1,103.5,101.6
29/10/2025,87.53,-0.5(-0.49 %),9302800,102.4,103.2,101.1
28/10/2025,87.96,4.2(4.29 %),20912700,98.6,102.2,98.6
27/10/2025,84.34,0.3(0.31 %),12897800,99.0,99.7,96.3
24/10/2025,84.08,2.7(2.84 %),13759100,95.0,97.7,94.7
